"","dspid","stromal_cluster"
"1","DSP_1001660003733_D_A02",NA
"2","DSP_1001660003733_D_A03",NA
"3","DSP_1001660003733_D_A04",NA
"4","DSP_1001660003733_D_A05",NA
"5","DSP_1001660003733_D_A06",NA
"6","DSP_1001660003733_D_A07",NA
"7","DSP_1001660003733_D_A08","SC1"
"8","DSP_1001660003733_D_A09",NA
"9","DSP_1001660003733_D_A10","SC1"
"10","DSP_1001660003733_D_A11",NA
"11","DSP_1001660003733_D_A12",NA
"12","DSP_1001660003733_D_B01","SC1"
"13","DSP_1001660003733_D_B02",NA
"14","DSP_1001660003733_D_B03","SC1"
"15","DSP_1001660003733_D_B04",NA
"16","DSP_1001660003733_D_B05",NA
"17","DSP_1001660003733_D_B06",NA
"18","DSP_1001660003733_D_B07","SC1"
"19","DSP_1001660003733_D_B08","SC1"
"20","DSP_1001660003733_D_B09",NA
"21","DSP_1001660003733_D_B10",NA
"22","DSP_1001660003733_D_B11","SC1"
"23","DSP_1001660003733_D_B12","SC1"
"24","DSP_1001660003733_D_C01",NA
"25","DSP_1001660003733_D_C02",NA
"26","DSP_1001660003733_D_C03","SC1"
"27","DSP_1001660003733_D_C04",NA
"28","DSP_1001660003733_D_C05",NA
"29","DSP_1001660003733_D_C06",NA
"30","DSP_1001660003733_D_C07","SC2"
"31","DSP_1001660003733_D_C08",NA
"32","DSP_1001660003733_D_C09",NA
"33","DSP_1001660003733_D_C10","SC2"
"34","DSP_1001660003733_D_C11",NA
"35","DSP_1001660003733_D_C12",NA
"36","DSP_1001660003733_D_D01",NA
"37","DSP_1001660003733_D_D02",NA
"38","DSP_1001660003733_D_D03",NA
"39","DSP_1001660003733_D_D04",NA
"40","DSP_1001660003733_D_D05","SC2"
"41","DSP_1001660003733_D_D06","SC2"
"42","DSP_1001660003733_D_D07",NA
"43","DSP_1001660003733_D_D08",NA
"44","DSP_1001660003733_D_D09","SC1"
"45","DSP_1001660003733_D_D10",NA
"46","DSP_1001660003733_D_D11","SC3"
